CustLocation,total_customers,avg_balance,total_transaction_volume
"STOP VASHINAKA CHEMBUR MUMBAI",1,5020.85,0
"STORE  BHUBANESWAR",4,61055.15,0
"STORE BANGALORE",61,138771.31950819676,0
"STORE GWALIOR",9,3190.4000000000005,0
"STORE HYDERABAD",30,425.2099999999997,0
"STORE KAIKONDARAHALLI BANGALORE",2,2844.64,0
"STORE NEEM KA THANA",1,15.39,0
"STORE NEXT TO RAJASTHAN DAIRY FARM",2,2000770.39,0
"STORE ROHA RAIGAD",1,106297.16,0
"STORE ROHTAK",1,10013.06,0
"STORES JANIGANJ SILCHAR",4,43013.96,0
"STORES MANGALORE",13,1207.9500000000003,0
"STREET MANNADY CHENNAI",3,1780.26,0
"STREET MUMBAI",1,3187.93,0
"STREET TEH HAVELI PUNE",7,23.259999999999998,0
"STUD FARM PUNE",5,66579.81,0
"STUDIO ANDHERI W MUMBAI",8,11630.0475,0
"STUDIO ANDHERI WEST MUMBAI MUMBAI",2,264.2,0
"STUDIO MERTA CITY",1,4258.03,0
"STYLE BANGALORE",6,187422.21,0
SUAR,4,3936.3,0
"SUB URBAN MUMBAI",19,5991.839999999998,0
SUBANSIRI,17,1396.0211764705878,0
SUBARNAPUR,9,14881.906666666668,0
SUBBAL,3,39345.58,0
"SUBHASH MARG C SCHEME JAIPUR",4,41351.46,0
"SUBHASH NAGAR GHATKOPAR WEST MUMBAI",1,14936.16,0
"SUBHASH NAGAR II",1,4292.2,0
"SUBRAMANYAPURA POST BANGALORE",3,40087.13,0
"SUBURB 2ND STAGE BANGALORE",3,5193.22,0
"SUBURB BANGALORE",63,27843.17539682539,0
"SUBURBAN DIST MUMBAI",32,126713.94781249993,0
"SUBURBAN MUMBAI",8,5323.61,0
"SUBURBAN TEHSIL BORIVALI MUMBAI",1,4504.45,0
"SUDAMA CHOWK SURAT",9,31893.370000000003,0
SUDPUR,2,6361.48,0
SUJANPUR,2,7082.77,0
SUKET,5,4828.308,0
SUKHPAR,2,1795.64,0
SULDUNG,1,6324.81,0
"SULEMAN NAGAR",2,128.26,0
SULLIA,10,5510.445999999999,0
"SULTANATE OF OMAN",1,16599123.4,0
"SULTANATE OFOMAN",8,1832897.6,0
SULTANPUR,316,13248.34212025318,0
"SULTANPUR LODHI",59,69013.3515254237,0
SULUR,27,1738.4700000000007,0
SUMBAL,1,3361.72,0
SUMERPUR,9,73185.48111111109,0
SUNABEDA,2,6347.88,0
SUNAM,6,9229.598333333333,0
"SUNDAR NAGAR",3,8998.79,0
SUNDARGARH,147,17284.563469387776,0
SUNDARNA,11,17445.28,0
SUNDARPUR,9,7687.260000000001,0
"SUNDER NAGAR",9,49115.65333333335,0
"SUNGHBHUM JAMSHEDPUR",8,1131.41,0
SUNNYVALE,41,41433.77000000001,0
SUPAUL,15,213866.3853333333,0
"SUPAUL DARBHANGA",1,12001.3,0
"SUPER MARKET BANGALORE",10,310648.52818181826,0
"SUPER MARKET CHENNAI",12,215111.15333333332,0
"SUPER MARKET HYDERABAD",3,27137.8,0
"SUPER MARKET UPPAL HYDERABAD",2,4594.88,0
"SUPERMARKET HYDERABAD",1,279,0
"SUPRE STORE BANGALORE",9,8102.46,0
SURAT,5755,68917.37995823882,0
"SURAT B/H PATEL SAMAJ VADI SURAT",1,308947.43,0
"SURAT CITY SURAT",5,1932.0899999999997,0
"SURAT CITY SURAT KATARGAM SURAT",1,2125.25,0
"SURAT DUMAS ROAD",3,72968.36,0
"SURAT KAMREJ ROAD SURAT",14,128480,0
"SURAT SURAT",14,61493.242142857154,0
SURATGARH,14,16302.388571428572,0
SURENDRANAGAR,33,23674.078181818197,0
"SURENDRANAGAR SURENDRANAGAR",6,73892.48,0
SURGUJA,24,201891.60250000007,0
SURREY,10,695106.4699999999,0
"SURVEY PARK KALIMANDIR KOLKATA",7,7021,0
"SURYA BHAWAN BHOPAL",1,36091.04,0
SURYAPET,176,31404.68028409092,0
"SURYAPET NALGONDA",17,7637.464117647055,0
"SURYAPET NALGONDA (DIST)",13,60946.42615384616,0
"SURYAPET NALGONDA (DT)",2,24810.43,0
"SURYAPET NALGONDA DIST",27,6731.771111111109,0
"SURYAPET NALGONDA(DIST)",29,5271.120344827584,0
"SURYAPET TOWN AND MANDAL",6,565.1999999999999,0
"SURYAPET,NALGONDA(DIST)",1,106939.48,0
"SURYAPETA NALGONDA DIST",1,6286.85,0
SURYAPETNALGONDA(DIST),3,534.59,0
SUSARI,18,543.14,0
"SV ROAD KANDIVALI WEST MUMBAI",4,46916.21,0
"SWAAI MADHOPUR",2,348305.36,0
SWAIMADHOPUR,1,4193.88,0
"SWAMI SAMARTH NGR ANDHERI W MUMBAI",9,133705.57000000004,0
"SWAMI TEMPLE VIJAYAWADA",6,82912.15000000001,0
"SWAMY TEMPLE GUNTUR",1,16124.28,0
"SWAMYROAD RSPURAM COIMBATORE",1,5048.58,0
SWAR,3,73895.63,0
SWARUPNAGAR,15,3527.7600000000016,0
"SWEET JUNCTION NASHIK",1,28123.44,0
"SWEETS BANGALORE",2,5061.23,0
"SWEETS CHENNAI",24,38644.12,0
"SWEETS KASHIPUR",2,69198.56,0
"SWEETS PUNE",1,3822.48,0
SWEILEH,5,2747,0
"SWIMMING POOL BANGALORE",1,46223.35,0
